iter	MultiClass
0	2.660126062
1	2.4665235
2	2.32225587
3	2.204126352
4	2.104171528
5	2.019653587
6	1.94585198
7	1.879099858
8	1.819197036
9	1.765697313
10	1.715215101
11	1.670237158
12	1.62818384
13	1.589702228
14	1.553736715
15	1.520001
16	1.488387093
17	1.45872502
18	1.429598824
19	1.402133822
20	1.377613499
21	1.354329522
22	1.330213038
23	1.308198309
24	1.286548268
25	1.265933609
26	1.245912903
27	1.227499483
28	1.208730662
29	1.190359344
30	1.173993596
31	1.15797743
32	1.142525529
33	1.12747087
34	1.114717368
35	1.099592827
36	1.086423592
37	1.072663789
38	1.060156393
39	1.048633421
40	1.036553651
41	1.02460939
42	1.013826733
43	1.002547089
44	0.9929163993
45	0.983011477
46	0.9731594219
47	0.964558905
48	0.9560481496
49	0.9478129288
50	0.9394241413
51	0.9318059653
52	0.9232574476
53	0.9161497137
54	0.908372936
55	0.9016904838
56	0.8944798802
57	0.8872588595
58	0.8810023835
59	0.8745659505
60	0.8687375341
61	0.8623960712
62	0.8560714494
63	0.8504190835
64	0.8443617493
65	0.8388210209
66	0.8335804811
67	0.8290941457
68	0.8235762483
69	0.81924374
70	0.8136674195
71	0.8094850923
72	0.8050963312
73	0.8006533139
74	0.7966986023
75	0.792572962
76	0.7888489911
77	0.7848022609
78	0.7808630883
79	0.7766605344
80	0.7733777314
81	0.7700257409
82	0.7663257295
83	0.7624308299
84	0.7591783235
85	0.7553666746
86	0.752263568
87	0.7491898901
88	0.7457948418
89	0.7425942478
90	0.7397817808
91	0.7361565127
92	0.7329066974
93	0.7305830569
94	0.7283806899
95	0.7248508693
96	0.7228146998
97	0.7201639596
98	0.7177578931
99	0.7151483876
100	0.7124741654
101	0.7099753425
102	0.7072784195
103	0.7052855247
104	0.7025185895
105	0.7007588661
106	0.6981932864
107	0.6957836173
108	0.6940700768
109	0.6914445983
110	0.6898230328
111	0.6884314268
112	0.6861047479
113	0.6841906765
114	0.6820279382
115	0.6797949272
116	0.6781813483
117	0.6757503674
118	0.673285357
119	0.6715997692
120	0.6702779583
121	0.6680066642
122	0.6660856046
123	0.6647237744
124	0.6630742127
125	0.6614781694
126	0.6603148734
127	0.6586785068
128	0.6570857189
129	0.6552568948
130	0.6539318285
131	0.6521820449
132	0.6512824339
133	0.650208118
134	0.6492259509
135	0.6476159311
136	0.6463356154
137	0.6451651142
138	0.6438665249
139	0.6424706218
140	0.6407168883
141	0.6389449247
142	0.6368834067
143	0.6356827824
144	0.633639234
145	0.632866626
146	0.6317023316
147	0.6300433945
148	0.6281397837
149	0.6268902855
150	0.6256509006
151	0.6248827198
152	0.6235249262
153	0.6227406856
154	0.620989079
155	0.6197439212
156	0.6192297462
157	0.6186111823
158	0.6168060139
159	0.616347267
160	0.6152325845
161	0.6134158704
162	0.6125608364
163	0.6110358903
164	0.609694417
165	0.60865782
166	0.6078780936
167	0.607426248
168	0.6060306053
169	0.6053574814
170	0.6036220214
171	0.6026240114
172	0.6020773695
173	0.6010692028
174	0.5994159951
175	0.5979459129
176	0.5975672916
177	0.5960273708
178	0.5949382539
179	0.5944006402
180	0.5931338234
181	0.5926152644
182	0.5913895521
183	0.5900456047
184	0.5887700201
185	0.5878847328
186	0.5872193349
187	0.5863754125
188	0.5851013471
189	0.5841348057
190	0.5828462864
191	0.5825551694
192	0.5822296323
193	0.5809892491
194	0.58007258
195	0.5790444904
196	0.5780906233
197	0.5770856251
198	0.5762273791
199	0.5751693835
200	0.5741718944
201	0.5734775454
202	0.5720456162
203	0.5716785839
204	0.5712625041
205	0.5707406464
206	0.5697797043
207	0.569340533
208	0.5688766643
209	0.5678615528
210	0.5668386284
211	0.5665047141
212	0.5656456
213	0.5648291963
214	0.5642177074
215	0.5636316972
216	0.5630261114
217	0.56265756
218	0.5616039917
219	0.5605622295
220	0.5596641377
221	0.5590074643
222	0.5582052974
223	0.5580012942
224	0.5572773864
225	0.5563883663
226	0.5555280368
227	0.5546278182
228	0.5541281838
229	0.5534260654
230	0.5525902163
231	0.5523055667
232	0.5513349886
233	0.5502957874
234	0.5494493041
235	0.5492451272
236	0.5490416448
237	0.548411622
238	0.5476066772
239	0.5469649351
240	0.5461073401
241	0.5455908212
242	0.545401402
243	0.544699327
244	0.5439879633
245	0.5434157993
246	0.5430024539
247	0.5427720171
248	0.5418888132
249	0.5416719621
250	0.5414059765
251	0.5412107845
252	0.5405651793
253	0.5396410446
254	0.5390301199
255	0.5388130952
256	0.53790081
257	0.5373269532
258	0.5371390097
259	0.5363410532
260	0.5356763932
261	0.5352918254
262	0.5346254292
263	0.5344390049
264	0.5335191673
265	0.532888884
266	0.5321925384
267	0.5320613253
268	0.5313346831
269	0.5305047804
270	0.5298160307
271	0.5293140525
272	0.5288635091
273	0.5283893101
274	0.5276249924
275	0.5273901282
276	0.526855249
277	0.5263961115
278	0.5258142247
279	0.5253584728
280	0.5251335917
281	0.5245979313
282	0.5239677783
283	0.5232965641
284	0.5227507469
285	0.5222612259
286	0.5218359442
287	0.5214263751
288	0.5212421211
289	0.5206059348
290	0.5198172669
291	0.519290244
292	0.5188382683
293	0.5187078364
294	0.5182048599
295	0.5178493734
296	0.5172755166
297	0.5171388344
298	0.5164023826
299	0.5159023576
300	0.5152132173
301	0.5146139685
302	0.5144509396
303	0.513940888
304	0.5133773182
305	0.513033551
306	0.5128795502
307	0.5122639378
308	0.5118063629
309	0.5111493856
310	0.5106153311
311	0.5100963816
312	0.5095652786
313	0.5092597512
314	0.5085195232
315	0.5080362525
316	0.5078852467
317	0.5073721134
318	0.5070773504
319	0.5066820181
320	0.5061667146
321	0.5060360657
322	0.5055506682
323	0.5053210994
324	0.505193185
325	0.5047007993
326	0.5041480807
327	0.5037002718
328	0.5033516867
329	0.5029816595
330	0.502555857
331	0.5021452027
332	0.5017631958
333	0.5013100047
334	0.5009825144
335	0.5006924825
336	0.5003112569
337	0.4998992571
338	0.4998081067
339	0.4992829503
340	0.4990327207
341	0.4989011169
342	0.4986017964
343	0.4980880988
344	0.4975657203
345	0.4971153072
346	0.4966586003
347	0.4963572397
348	0.4962057565
349	0.4957605953
350	0.4954677855
351	0.4949361183
352	0.4947154042
353	0.4943696404
354	0.4940614652
355	0.49390881
356	0.4935541048
357	0.4932583869
358	0.4929545088
359	0.4925916001
360	0.4922345076
361	0.4918221606
362	0.4915687625
363	0.4913041659
364	0.4908156866
365	0.4905783484
366	0.4901078387
367	0.4900136066
368	0.4898639029
369	0.4895966152
370	0.4894286815
371	0.4890095633
372	0.4886300305
373	0.4882942932
374	0.4881114281
375	0.4878140608
376	0.4873472406
377	0.4869335481
378	0.4866109191
379	0.4863678948
380	0.4860168356
381	0.4855529669
382	0.4853609
383	0.4851560286
384	0.4846686779
385	0.4843615011
386	0.4840179509
387	0.4837300025
388	0.4833827195
389	0.4832576698
390	0.4828262246
391	0.4824512493
392	0.4822147791
393	0.4819201029
394	0.48157282
395	0.4812033136
396	0.4808639738
397	0.4805042335
398	0.4802951953
399	0.4800319009
400	0.47972225
401	0.4794354735
402	0.4789916145
403	0.4787001503
404	0.4784691926
405	0.4783236992
406	0.4779333151
407	0.4776688921
408	0.4772914427
409	0.4769649507
410	0.4768959802
411	0.4765414052
412	0.4761255858
413	0.4758735767
414	0.4758121587
415	0.4754985579
416	0.4753491581
417	0.4751254924
418	0.4749522198
419	0.4746309798
420	0.4742834798
421	0.4741951941
422	0.4740492667
423	0.4736882243
424	0.4734569628
425	0.4732941942
426	0.4731313389
427	0.4729621898
428	0.4727617023
429	0.4724447594
430	0.4721820292
431	0.4719582333
